mag_id,family_origin,Amino_acid_transport_and_metabolism,Carbohydrate_transport_and_metabolism,Cell_cycle_control__cell_division__chromosome_partitioning_,Cell_motility,Cell_wall_membrane_envelope_biogenesis,Coenzyme_transport_and_metabolism,Defense_mechanisms,Energy_production_and_conversion,Function_unknown,General_function_prediction_only,Inorganic_ion_transport_and_metabolism,Intracellular_trafficking__secretion__and_vesicular_transport_,Lipid_transport_and_metabolism,Nucleotide_transport_and_metabolism,Posttranslational_modification__protein_turnover__chaperones_,Replication__recombination_and_repair_,Secondary_metabolites_biosynthesis__transport_and_catabolism_,Signal_transduction_mechanisms,Transcription,Translation__ribosomal_structure_and_biogenesis_
ASM151242,Clostridiaceae_engineered,60,45,16,22,33,22,3,20,27,43,12,16,23,27,24,37,4,20,28,74
ASM151250,Clostridiaceae_engineered,68,32,14,26,33,43,2,33,25,44,27,22,21,33,39,44,6,19,37,82
ASM151255,Clostridiaceae_engineered,64,41,13,14,33,22,1,23,22,45,26,17,22,26,21,43,4,22,25,83
ASM164338,Clostridiaceae_hosted,63,25,11,2,25,34,2,19,20,58,22,9,17,26,22,38,1,13,23,73
ASM194092,Ruminococcaceae_hosted,60,42,12,1,28,38,6,27,21,37,14,9,20,33,26,51,5,12,48,83
ASM194099,Ruminococcaceae_hosted,54,33,8,4,29,26,2,15,18,33,10,9,12,25,26,46,2,13,20,77
ASM194113,Ruminococcaceae_hosted,59,33,11,2,32,33,3,25,15,44,15,10,17,32,28,42,6,12,23,77
ASM229329,Ruminococcaceae_hosted,54,32,12,14,21,22,2,25,22,34,12,12,18,32,26,42,5,18,23,79
ASM229812,Clostridiaceae_engineered,56,54,15,21,42,43,4,42,31,65,41,17,32,41,35,54,10,28,36,93
ASM229938,Lactobacillaceae_hosted,69,33,11,16,30,18,0,18,25,41,30,18,14,38,34,54,2,15,28,72
ASM229975,Lactobacillaceae_hosted,41,30,8,2,32,26,0,20,26,40,21,12,16,47,23,53,5,14,23,85
ASM230010,Lactobacillaceae_hosted,33,26,3,1,23,11,0,11,23,36,16,9,10,34,21,42,2,9,18,79
ASM230504,Ruminococcaceae_engineered,56,38,9,0,23,14,3,7,16,40,15,9,21,32,25,41,5,10,19,74
ASM230507,Ruminococcaceae_engineered,64,18,9,15,29,25,1,26,23,43,24,13,16,28,24,44,5,16,20,78
